Unnamed: 0,Manufacturer,Model Name,Category,Screen Size,GPU,Operating System,Operating System Version,Weight,Price (Euros),Resolution,Screen_Type,RAM,SSD,HDD,HYBRID,SSD_CAPACITY,HDD_CAPACITY,HYBRID_CAPACITY,TOTAL_STORAGE,Unnamed: 0,Brand,Clockspeed,Model,Series,Width,Height,fullRes
261,Lenovo,IdeaPad 320-15ISK,Notebook,15.6,Intel HD Graphics 520,No OS,,2.2kg,444,1920x1080,No Touchscreen,4,True,False,False,256,0,0,256,261,Intel,2.0,,Core i3 6006U,1920,1080,2073600
262,HP,ProBook 450,Notebook,15.6,Intel HD Graphics 620,Windows,10,2.1kg,722,1920x1080,No Touchscreen,4,False,True,False,0,500,0,500,262,Intel,1.6,,Core i5 8250U,1920,1080,2073600
263,Dell,Vostro 3568,Notebook,15.6,Intel HD Graphics 620,Windows,10,2.18kg,657,1920x1080,No Touchscreen,4,False,True,False,0,1000,0,1000,263,Intel,2.5,,Core i5 7200U,1920,1080,2073600
264,Dell,Inspiron 3567,Notebook,15.6,AMD Radeon R5 M430,Windows,10,2.24kg,565,1920x1080,No Touchscreen,8,False,True,False,0,1000,0,1000,264,Intel,2.5,,Core i5 7200U,1920,1080,2073600
265,Dell,Inspiron 5579,2 in 1 Convertible,15.6,Intel UHD Graphics 620,Windows,10,2.67kg,799,1920x1080,Touchscreen,8,True,False,False,256,0,0,256,265,Intel,1.6,,Core i5 8250U,1920,1080,2073600
266,Asus,ZenBook Flip,2 in 1 Convertible,13.3,Intel UHD Graphics 620,Windows,10,1.1kg,1499,1920x1080,Touchscreen,8,True,False,False,512,0,0,512,266,Intel,1.8,,Core i7 8550U,1920,1080,2073600
267,Lenovo,IdeaPad 320-15IKBN,Notebook,15.6,Intel HD Graphics 620,No OS,,2.2kg,467,1920x1080,No Touchscreen,4,False,True,False,0,1000,0,1000,267,Intel,2.5,,Core i5 7200U,1920,1080,2073600
268,HP,Probook 470,Notebook,17.3,Nvidia GeForce 930MX ,Windows,10,2.5kg,1018,1920x1080,No Touchscreen,8,False,True,False,0,1000,0,1000,268,Intel,1.8,,Core i7 8550U,1920,1080,2073600
269,Lenovo,V330-15IKB (i7-8550U/8GB/256GB/FHD/W10),Notebook,15.6,Intel UHD Graphics 620,Windows,10,2.05kg,880,1920x1080,No Touchscreen,8,True,False,False,256,0,0,256,269,Intel,1.8,,Core i7 8550U,1920,1080,2073600
270,Apple,MacBook Pro,Ultrabook,13.3,Intel Iris Graphics 550,macOS,,1.37kg,1958,2560x1600,No Touchscreen,8,True,False,False,512,0,0,512,270,Intel,2.9,,Core i5,2560,1600,4096000
271,Asus,Rog Strix,Gaming,17.3,AMD Radeon RX 580,Windows,10,3.2kg,1549,1920x1080,No Touchscreen,16,True,True,False,256,1000,0,1256,271,AMD,3.0,1700,Ryzen,1920,1080,2073600
272,Dell,Inspiron 3576,Notebook,15.6,AMD Radeon 520,Linux,,2.14kg,735,1920x1080,No Touchscreen,8,True,False,False,256,0,0,256,272,Intel,1.8,,Core i7 8550U,1920,1080,2073600
273,Lenovo,ThinkPad X1,2 in 1 Convertible,14.0,Intel HD Graphics 520,Windows,10,1.36kg,2499,2560x1440,Touchscreen,16,True,False,False,512,0,0,512,273,Intel,2.6,,Core i7 6600U,2560,1440,3686400
274,Toshiba,Satellite Pro,Notebook,15.6,Nvidia GeForce 930M,Windows,10,2.2kg,812,1366x768,No Touchscreen,8,False,True,False,0,500,0,500,274,Intel,2.5,,Core i7 6500U,1366,768,1049088
275,Dell,Inspiron 5567,Notebook,15.6,Intel HD Graphics 620,Windows,10,2.3kg,713,1366x768,No Touchscreen,12,False,True,False,0,1000,0,1000,275,Intel,2.7,,Core i7 7500U,1366,768,1049088
276,Dell,Inspiron 5770,Notebook,17.3,AMD Radeon 530,Linux,,2.8kg,1099,1920x1080,No Touchscreen,8,True,True,False,128,1000,0,1128,276,Intel,1.8,,Core i7 8550U,1920,1080,2073600
277,Acer,Aspire A515-51G,Notebook,15.6,Nvidia GeForce MX130,Windows,10,2.2kg,745,1920x1080,No Touchscreen,8,False,True,False,0,1000,0,1000,277,Intel,1.8,,Core i7 8550U,1920,1080,2073600
278,Lenovo,IdeaPad 320-17ISK,Notebook,17.3,Intel HD Graphics 520,Windows,10,2.8kg,489,1600x900,No Touchscreen,4,False,True,False,0,1000,0,1000,278,Intel,2.0,,Core i3 6006U,1600,900,1440000
279,Lenovo,IdeaPad 320-17IKBR,Notebook,17.3,Nvidia GeForce MX150,No OS,,2.8kg,849,1920x1080,No Touchscreen,8,False,True,False,0,2000,0,2000,279,Intel,1.8,,Core i7 8550U,1920,1080,2073600
280,Lenovo,IdeaPad 320-17IKB,Notebook,17.3,Nvidia GeForce 940MX,Windows,10,2.8kg,859,1600x900,No Touchscreen,6,True,True,False,128,1000,0,1128,280,Intel,2.7,,Core i7 7500U,1600,900,1440000
281,Dell,Inspiron 3567,Notebook,15.6,AMD Radeon R5 M430,Linux,,2.25kg,428,1920x1080,No Touchscreen,4,False,True,False,0,1000,0,1000,281,Intel,2.0,,Core i3 6006U,1920,1080,2073600
282,Lenovo,Legion Y520-15IKBN,Gaming,15.6,Nvidia GeForce GTX 1050,Windows,10,2.5kg,829,1920x1080,No Touchscreen,8,True,False,False,256,0,0,256,282,Intel,2.5,,Core i5 7300HQ,1920,1080,2073600
283,Lenovo,Ideapad 320-15IKBN,Notebook,15.6,Intel HD Graphics 620,Windows,10,2.2kg,579,1920x1080,No Touchscreen,6,True,False,False,256,0,0,256,283,Intel,2.5,,Core i5 7200U,1920,1080,2073600
284,Acer,Aspire A517-51G,Notebook,15.6,Nvidia GeForce MX150,Windows,10,3kg,951,1920x1080,No Touchscreen,8,True,False,False,256,0,0,256,284,Intel,1.8,,Core i7 8550U,1920,1080,2073600
285,Acer,SP315-51 (i7-7500U/12GB/1TB/FHD/W10),Notebook,15.6,Intel HD Graphics 620,Windows,10,2.15kg,659,1920x1080,Touchscreen,12,False,True,False,0,1000,0,1000,285,Intel,2.7,,Core i7 7500U,1920,1080,2073600
286,Lenovo,Thinkpad T570,Notebook,15.6,Intel HD Graphics 630,Windows,10,1.95kg,1097,1920x1080,No Touchscreen,8,True,False,False,256,0,0,256,286,Intel,2.7,,Core i7 7500U,1920,1080,2073600
287,Asus,VivoBook S15,Ultrabook,15.6,Nvidia GeForce 940MX,Windows,10,1.7kg,977,1920x1080,No Touchscreen,8,True,False,False,256,0,0,256,287,Intel,2.5,,Core i5 7200U,1920,1080,2073600
288,Lenovo,Legion Y520-15IKBN,Gaming,15.6,Nvidia GeForce GTX 1050 Ti,Windows,10,2.5kg,1179,1920x1080,No Touchscreen,16,True,True,False,256,1000,0,1256,288,Intel,2.8,,Core i7 7700HQ,1920,1080,2073600
289,Lenovo,IdeaPad 320-15IKB,Notebook,15.6,Nvidia GeForce 940MX,No OS,,2.2kg,659,1920x1080,No Touchscreen,8,False,True,False,0,1000,0,1000,289,Intel,2.7,,Core i7 7500U,1920,1080,2073600
290,Acer,Chromebook C910-C2ST,Notebook,15.6,Intel HD Graphics,Chrome OS,,2.19kg,199,1366x768,No Touchscreen,2,True,False,False,16,0,0,16,290,Intel,1.5,,Celeron Dual Core 3205U,1366,768,1049088
291,Asus,FX753VD-GC071T (i7-7700HQ/8GB/1TB/GeForce,Gaming,17.3,Nvidia GeForce GTX 1050,Windows,10,3kg,1187,1920x1080,No Touchscreen,8,False,True,False,0,1000,0,1000,291,Intel,2.8,,Core i7 7700HQ,1920,1080,2073600
292,HP,17-BS037cl (i3-6006U/8GB/1TB/W10),Notebook,17.3,Intel HD Graphics 520,Windows,10,2.54kg,489,1600x900,No Touchscreen,8,False,True,False,0,1000,0,1000,292,Intel,2.0,,Core i3 6006U,1600,900,1440000
293,Dell,XPS 15,Notebook,15.6,Nvidia GeForce GTX 1050,Windows,10,2kg,1829,1920x1080,No Touchscreen,8,True,False,False,256,0,0,256,293,Intel,2.8,,Core i7 7700HQ,1920,1080,2073600
294,Lenovo,V330-15IKB (i5-8250U/8GB/256GB/FHD/W10),Notebook,15.6,Intel UHD Graphics 620,Windows,10,2.05kg,739,1920x1080,No Touchscreen,8,True,False,False,256,0,0,256,294,Intel,1.6,,Core i5 8250U,1920,1080,2073600
295,Lenovo,Legion Y720-15IKB,Gaming,15.6,Nvidia GeForce GTX 1060,Windows,10,3.2kg,1299,1920x1080,No Touchscreen,8,False,True,False,0,1000,0,1000,295,Intel,2.8,,Core i7 7700HQ,1920,1080,2073600
296,Acer,Aspire A715-71G,Notebook,15.6,Nvidia GeForce GTX 1050 Ti,Linux,,2.5kg,979,1920x1080,No Touchscreen,8,True,False,False,256,0,0,256,296,Intel,2.8,,Core i7 7700HQ,1920,1080,2073600
297,Dell,Precision 7720,Workstation,17.3,Nvidia Quadro M1200,Windows,10,3.42kg,2884,1920x1080,No Touchscreen,16,True,False,False,256,0,0,256,297,Intel,2.9,,Core i7 7820HQ,1920,1080,2073600
298,Lenovo,IdeaPad 310-15ABR,Notebook,15.6,AMD Radeon R5 430,Windows,10,2.4kg,499,1920x1080,No Touchscreen,6,False,True,False,0,1000,0,1000,298,AMD,2.4,9600P,A10-Series,1920,1080,2073600
299,Asus,ZenBook UX530UQ-PRO,Ultrabook,15.6,Nvidia GeForce 940MX,Windows,10,1.63kg,1468,1920x1080,No Touchscreen,16,True,False,False,512,0,0,512,299,Intel,2.7,,Core i7 7500U,1920,1080,2073600
300,Asus,VivoBook S14,Notebook,14.0,Intel HD Graphics 620,Windows,10,1.3kg,509,1366x768,No Touchscreen,4,True,False,False,128,0,0,128,300,Intel,2.4,,Core i3 7100U,1366,768,1049088
301,Asus,Rog GL702VS-GC095T,Gaming,17.3,Nvidia GeForce GTX 1070,Windows,10,2.9kg,2122,1920x1080,No Touchscreen,16,True,True,False,256,1000,0,1256,301,Intel,2.8,,Core i7 7700HQ,1920,1080,2073600
302,Lenovo,IdeaPad 320-17IKB,Notebook,17.3,Nvidia GeForce GTX 940M,Windows,10,2.8kg,649,1600x900,No Touchscreen,6,False,True,False,0,1000,0,1000,302,Intel,2.5,,Core i5 7200U,1600,900,1440000
303,Lenovo,IdeaPad 320-15IKBN,Notebook,15.6,Nvidia GeForce 940MX,No OS,,2.2kg,549,1366x768,No Touchscreen,8,False,True,False,0,2000,0,2000,303,Intel,2.5,,Core i5 7200U,1366,768,1049088
304,Asus,GL553VE-FY082T (i7-7700HQ/8GB/1TB,Gaming,15.6,Nvidia GeForce GTX 1050 Ti,Windows,10,2.5kg,1265,1920x1080,No Touchscreen,8,True,True,False,128,1000,0,1128,304,Intel,2.8,,Core i7 7700HQ,1920,1080,2073600
305,Lenovo,IdeaPad 320-15IAP,Notebook,15.6,Intel HD Graphics 505,No OS,,2.2kg,359,1366x768,No Touchscreen,4,False,True,False,0,1000,0,1000,305,Intel,1.1,,Pentium Quad Core N4200,1366,768,1049088
306,HP,EliteBook x360,2 in 1 Convertible,13.3,Intel HD Graphics 620,Windows,10,1.28kg,1975,1920x1080,Touchscreen,16,True,False,False,256,0,0,256,306,Intel,2.8,,Core i7 7600U,1920,1080,2073600
307,Toshiba,Satellite Pro,Notebook,15.6,Nvidia GeForce 930M,Windows,10,2.2kg,1043,1920x1080,No Touchscreen,8,True,False,False,256,0,0,256,307,Intel,2.5,,Core i7 6500U,1920,1080,2073600
308,Lenovo,IdeaPad 320-15IKB,Notebook,15.6,Nvidia GeForce 940MX,Windows,10,2.3kg,819,1920x1080,No Touchscreen,8,True,True,False,128,1000,0,1128,308,Intel,2.5,,Core i5 7200U,1920,1080,2073600
309,HP,250 G6,Notebook,15.6,Intel HD Graphics 520,Windows,10,1.86kg,469,1920x1080,No Touchscreen,4,False,True,False,0,1000,0,1000,309,Intel,2.0,,Core i3 6006U,1920,1080,2073600
310,Lenovo,IdeaPad 720S-13IKB,Notebook,13.3,Intel HD Graphics 620,Windows,10,1.1kg,999,1920x1080,No Touchscreen,8,True,False,False,256,0,0,256,310,Intel,2.5,,Core i5 7200U,1920,1080,2073600
311,Dell,XPS 13,Ultrabook,13.3,Intel UHD Graphics 620,Windows,10,1.21kg,2499,3840x2160,Touchscreen,16,True,False,False,1000,0,0,1000,311,Intel,1.8,,Core i7 8550U,3840,2160,8294400
312,MSI,GE63VR 7RF,Gaming,15.6,Nvidia GeForce GTX 1070,Windows,10,2.8kg,2099,1920x1080,No Touchscreen,16,True,True,False,256,1000,0,1256,312,Intel,2.8,,Core i7 7700HQ,1920,1080,2073600
313,Acer,ES1-523-84K7 (A8-7410/8GB/256GB/FHD/W10),Notebook,15.6,AMD Radeon R5,Windows,10,2.23kg,469,1920x1080,No Touchscreen,8,True,False,False,256,0,0,256,313,AMD,2.2,7410,A8-Series,1920,1080,2073600
314,Asus,VivoBook Flip,2 in 1 Convertible,11.6,Intel HD Graphics 500,Windows,10,1.1kg,275,1366x768,Touchscreen,2,True,False,False,32,0,0,32,314,Intel,1.1,,Celeron Dual Core N3350,1366,768,1049088
315,Dell,Inspiron 5570,Notebook,15.6,AMD Radeon 530,Windows,10,2.33kg,844,1920x1080,No Touchscreen,8,True,True,False,128,1000,0,1128,315,Intel,1.6,,Core i5 8250U,1920,1080,2073600
316,HP,Spectre x360,2 in 1 Convertible,13.3,Intel UHD Graphics 620,Windows,10,1.29kg,2449,3840x2160,Touchscreen,16,True,False,False,1000,0,0,1000,316,Intel,1.8,,Core i7 8550U,3840,2160,8294400
317,Lenovo,ThinkPad 13,Notebook,13.3,Intel HD Graphics 510,Chrome OS,,1.45kg,459,1366x768,No Touchscreen,4,True,False,False,16,0,0,16,317,Intel,1.6,,Celeron Dual Core 3855U,1366,768,1049088
318,HP,ProBook 640,Notebook,14.0,Intel HD Graphics 620,Windows,10,1.95kg,980,1920x1080,No Touchscreen,8,True,False,False,256,0,0,256,318,Intel,2.5,,Core i5 7200U,1920,1080,2073600
319,Acer,TravelMate B,Notebook,11.6,Intel HD Graphics 405,Windows,10,1.4kg,485,1366x768,No Touchscreen,4,True,False,False,128,0,0,128,319,Intel,1.6,,Pentium Quad Core N3710,1366,768,1049088
320,HP,Elitebook 840,Notebook,14.0,Intel HD Graphics 620,Windows,10,1.48kg,1292,1920x1080,No Touchscreen,8,True,False,False,256,0,0,256,320,Intel,2.7,,Core i7 7500U,1920,1080,2073600
321,Lenovo,IdeaPad 320-17IKB,Notebook,17.3,Nvidia GeForce 920MX,Windows,10,2.79kg,589,1600x900,No Touchscreen,4,False,True,False,0,1000,0,1000,321,Intel,2.5,,Core i5 7200U,1600,900,1440000
322,Asus,ZenBook UX410UA-GV183T,Notebook,14.0,Intel HD Graphics 620,Windows,10,2kg,1094,1920x1080,No Touchscreen,8,True,False,False,256,0,0,256,322,Intel,2.7,,Core i7 7500U,1920,1080,2073600
323,HP,ProBook 450,Notebook,15.6,Intel UHD Graphics 620,Windows,10,2.1kg,902,1366x768,No Touchscreen,8,False,True,False,0,1000,0,1000,323,Intel,1.8,,Core i7 8550U,1366,768,1049088
324,Acer,Aspire 5,Notebook,15.6,AMD Radeon RX 540,Windows,10,2.2kg,659,1366x768,No Touchscreen,8,True,False,False,256,0,0,256,324,AMD,2.7,9720P,A12-Series,1366,768,1049088
325,Lenovo,IdeaPad 120S-14IAP,Notebook,14.0,Intel HD Graphics 500,Windows,10,1.44kg,292,1366x768,No Touchscreen,4,True,False,False,32,0,0,32,325,Intel,1.1,,Celeron Dual Core N3350,1366,768,1049088
326,Acer,Aspire E5-575,Notebook,15.6,Intel HD Graphics 620,Windows,10,2.23kg,549,1366x768,No Touchscreen,6,False,True,False,0,1000,0,1000,326,Intel,2.5,,Core i5 7200U,1366,768,1049088
327,Asus,VivoBook S15,Ultrabook,15.6,Nvidia GeForce 940MX,Windows,10,1.7kg,1049,1920x1080,No Touchscreen,8,True,False,False,256,0,0,256,327,Intel,2.7,,Core i7 7500U,1920,1080,2073600
328,HP,Elitebook 820,Ultrabook,12.5,Intel HD Graphics 620,Windows,10,1.26kg,1335,1920x1080,No Touchscreen,8,True,False,False,256,0,0,256,328,Intel,2.7,,Core i7 7500U,1920,1080,2073600
329,Dell,XPS 15,Notebook,15.6,Nvidia GeForce GTX 1050,Windows,10,2.06kg,2639,3840x2160,Touchscreen,32,True,False,False,1000,0,0,1000,329,Intel,2.8,,Core i7 7700HQ,3840,2160,8294400
330,MSI,GL72M 7REX,Gaming,17.3,Nvidia GeForce GTX 1050 Ti,Windows,10,2.7kg,1199,1920x1080,No Touchscreen,8,True,True,False,256,1000,0,1256,330,Intel,2.8,,Core i7 7700HQ,1920,1080,2073600
331,Toshiba,Satellite Pro,Notebook,15.6,Intel HD Graphics 620,Windows,10,2.0kg,943,1920x1080,No Touchscreen,8,True,False,False,256,0,0,256,331,Intel,2.5,,Core i5 7200U,1920,1080,2073600
332,Asus,UX510UX-CN269T (i7-7500U/8GB/256GB,Notebook,14.0,Intel HD Graphics 620,Windows,10,2kg,1334,1920x1080,No Touchscreen,8,True,True,False,256,1000,0,1256,332,Intel,2.7,,Core i7 7500U,1920,1080,2073600
333,Lenovo,V310-15ISK (i3-6006U/4GB/1TB/FHD/W10),Notebook,15.6,Intel HD Graphics 520,Windows,10,1.85kg,449,1920x1080,No Touchscreen,4,False,True,False,0,1000,0,1000,333,Intel,2.0,,Core i3 6006U,1920,1080,2073600
334,Asus,FX553VD-FY647T (i7-7700HQ/8GB/256GB/GeForce,Gaming,15.6,Nvidia GeForce GTX 1050,Windows,10,2.5kg,999,1920x1080,No Touchscreen,8,True,False,False,256,0,0,256,334,Intel,2.8,,Core i7 7700HQ,1920,1080,2073600
335,HP,EliteBook 840,Notebook,14.0,Intel HD Graphics 620,Windows,10,1.48kg,1268,1920x1080,No Touchscreen,8,True,False,False,256,0,0,256,335,Intel,2.6,,Core i5 7300U,1920,1080,2073600
336,Dell,Inspiron 7570,Ultrabook,15.6,Nvidia GeForce 940MX,Windows,10,1.9kg,1049,1920x1080,No Touchscreen,8,True,True,False,128,1000,0,1128,336,Intel,1.6,,Core i5 8250U,1920,1080,2073600
337,HP,Elitebook 850,Notebook,15.6,Intel HD Graphics 620,Windows,10,1.84kg,1144,1920x1080,No Touchscreen,8,True,False,False,256,0,0,256,337,Intel,2.5,,Core i5 7200U,1920,1080,2073600
338,Asus,X541NA (N3350/4GB/1TB/Linux),Notebook,15.6,Intel HD Graphics 500,Linux,,2kg,274,1366x768,No Touchscreen,4,False,True,False,0,1000,0,1000,338,Intel,1.1,,Celeron Dual Core N3350,1366,768,1049088
339,Dell,Inspiron 7570,Notebook,15.6,Nvidia GeForce 940MX,Windows,10,2kg,1142,1920x1080,No Touchscreen,8,True,False,False,256,0,0,256,339,Intel,1.6,,Core i5 8250U,1920,1080,2073600
340,Dell,Inspiron 3552,Notebook,15.6,Intel HD Graphics,Linux,,2.2kg,274,1366x768,No Touchscreen,4,False,True,False,0,500,0,500,340,Intel,1.6,,Celeron Dual Core N3060,1366,768,1049088
341,Lenovo,IdeaPad 320-15ABR,Notebook,15.6,AMD Radeon 530,Windows,10,2.2kg,899,1920x1080,No Touchscreen,12,False,True,False,0,2000,0,2000,341,AMD,3.6,9720P,A12-Series,1920,1080,2073600
342,HP,ProBook 450,Notebook,15.6,Nvidia GeForce 930MX ,Windows,10,2.1kg,716,1920x1080,No Touchscreen,8,False,True,False,0,1000,0,1000,342,Intel,2.4,,Core i3 7100U,1920,1080,2073600
343,Lenovo,Yoga 920-13IKB,2 in 1 Convertible,13.9,Intel UHD Graphics 620,Windows,10,1.4kg,2099,3840x2160,Touchscreen,16,True,False,False,512,0,0,512,343,Intel,1.8,,Core i7 8550U,3840,2160,8294400
344,Dell,XPS 13,Ultrabook,13.3,Intel UHD Graphics 620,Windows,10,1.2kg,1579,1920x1080,No Touchscreen,8,True,False,False,256,0,0,256,344,Intel,1.8,,Core i7 8550U,1920,1080,2073600
345,Lenovo,Legion Y520-15IKBN,Gaming,15.6,Nvidia GeForce GTX 1050 Ti,Windows,10,2.4kg,1129,1920x1080,No Touchscreen,16,True,True,False,256,2000,0,2256,345,Intel,2.8,,Core i7 7700HQ,1920,1080,2073600
346,HP,Stream 14-AX001nv,Notebook,14.0,Intel HD Graphics 400,Windows,10,1.44kg,279,1366x768,No Touchscreen,2,True,False,False,32,0,0,32,346,Intel,1.6,,Celeron Dual Core N3060,1366,768,1049088
347,Dell,Latitude 5590,Ultrabook,15.6,Intel UHD Graphics 620,Windows,10,1.88kg,1607,1920x1080,No Touchscreen,16,True,False,False,512,0,0,512,347,Intel,1.9,,Core i7 8650U,1920,1080,2073600
348,Asus,VivoBook Flip,2 in 1 Convertible,11.6,Intel HD Graphics 500,Windows,10,1.5kg,375,1366x768,Touchscreen,4,True,False,False,32,0,0,32,348,Intel,1.1,,Celeron Dual Core N3350,1366,768,1049088
349,Dell,Inspiron 5570,Ultrabook,15.6,AMD Radeon 530,Windows,10,1.9kg,663,1920x1080,No Touchscreen,8,False,True,False,0,1000,0,1000,349,Intel,1.6,,Core i5 8250U,1920,1080,2073600
350,Dell,XPS 15,Notebook,15.6,Nvidia GeForce GTX 1050,Windows,10,2.06kg,2027,3840x2160,Touchscreen,16,True,False,False,512,0,0,512,350,Intel,2.8,,Core i7 7700HQ,3840,2160,8294400
351,HP,Elitebook 850,Notebook,15.6,Intel HD Graphics 620,Windows,10,1.84kg,1304,1920x1080,No Touchscreen,8,True,False,False,256,0,0,256,351,Intel,2.7,,Core i7 7500U,1920,1080,2073600
352,MSI,GP72MVR 7RFX,Gaming,17.3,Nvidia GeForce GTX 1060,Windows,10,2.7kg,1409,1920x1080,No Touchscreen,8,True,True,False,128,1000,0,1128,352,Intel,2.8,,Core i7 7700HQ,1920,1080,2073600
353,HP,Zbook 15,Workstation,15.6,Nvidia Quadro M1200,Windows,10,2.6kg,1738,1920x1080,No Touchscreen,8,True,False,False,256,0,0,256,353,Intel,2.8,,Core i7 7700HQ,1920,1080,2073600
354,Toshiba,Tecra A50-C-21G,Notebook,15.6,Nvidia GeForce 930M,Windows,10,2.4kg,1403,1920x1080,No Touchscreen,16,True,False,False,512,0,0,512,354,Intel,2.5,,Core i7 6500U,1920,1080,2073600
355,Dell,Inspiron 5570,Notebook,15.6,AMD Radeon 530,Windows,10,2.02kg,970,1920x1080,No Touchscreen,8,True,True,False,128,2000,0,2128,355,Intel,1.8,,Core i7 8550U,1920,1080,2073600
356,Lenovo,IdeaPad 320-15IAP,Notebook,15.6,Intel HD Graphics 500,No OS,,2.2kg,321,1366x768,No Touchscreen,4,False,True,False,0,1000,0,1000,356,Intel,1.1,,Celeron Dual Core N3350,1366,768,1049088
357,Dell,Inspiron 7577,Gaming,15.6,Nvidia GeForce GTX 1050,Windows,10,2.65kg,999,1920x1080,No Touchscreen,8,False,True,False,0,1000,0,1000,357,Intel,2.5,,Core i5 7300HQ,1920,1080,2073600
358,Dell,Inspiron 3567,Notebook,15.6,Intel HD Graphics 620,Windows,10,2.36kg,557,1366x768,Touchscreen,8,False,True,False,0,2000,0,2000,358,Intel,2.5,,Core i5 7200U,1366,768,1049088
359,Dell,Latitude 7480,Notebook,14.0,Intel HD Graphics 620,Windows,10,1.36kg,1427,1920x1080,No Touchscreen,8,True,False,False,256,0,0,256,359,Intel,2.6,,Core i5 7300U,1920,1080,2073600
360,HP,250 G6,Notebook,15.6,Intel HD Graphics 520,Windows,10,1.86kg,439,1366x768,No Touchscreen,4,False,True,False,0,500,0,500,360,Intel,2.0,,Core i3 6006U,1366,768,1049088
361,Asus,Zenbook UX410UA-GV027T,Notebook,14.0,Intel HD Graphics 620,Windows,10,2kg,945,1920x1080,No Touchscreen,8,True,False,False,256,0,0,256,361,Intel,2.5,,Core i5 7200U,1920,1080,2073600
362,Lenovo,IdeaPad 320-17IKB,Notebook,17.3,Nvidia GeForce GTX 940MX,Windows,10,2.8kg,719,1600x900,No Touchscreen,6,True,True,False,128,1000,0,1128,362,Intel,2.5,,Core i5 7200U,1600,900,1440000
363,HP,250 G6,Notebook,15.6,Intel HD Graphics 620,Windows,10,1.86kg,639,1920x1080,No Touchscreen,8,False,True,False,0,1000,0,1000,363,Intel,2.5,,Core i5 7200U,1920,1080,2073600
364,Lenovo,IdeaPad 320-15ISK,Notebook,15.6,Nvidia GeForce 920MX ,No OS,,2.2kg,499,1366x768,No Touchscreen,8,True,False,False,256,0,0,256,364,Intel,2.0,,Core i3 6006U,1366,768,1049088
365,HP,15-AY023na (N3710/8GB/2TB/W10),Notebook,15.6,Intel HD Graphics 405,Windows,10,2.04kg,389,1366x768,No Touchscreen,8,False,True,False,0,2000,0,2000,365,Intel,1.6,,Pentium Quad Core N3710,1366,768,1049088
366,Dell,Inspiron 5770,Notebook,17.3,AMD Radeon 530,Windows,10,2.8kg,1085,1920x1080,No Touchscreen,8,True,True,False,128,1000,0,1128,366,Intel,1.6,,Core i5 8250U,1920,1080,2073600
367,Lenovo,Legion Y520-15IKBN,Gaming,15.6,Nvidia GeForce GTX 1050,No OS,,2.4kg,809,1920x1080,No Touchscreen,8,True,True,False,128,1000,0,1128,367,Intel,2.5,,Core i5 7300HQ,1920,1080,2073600
368,Dell,Inspiron 5567,Notebook,15.6,AMD Radeon R7 M445,Windows,10,2.33kg,899,1920x1080,No Touchscreen,8,True,False,False,256,0,0,256,368,Intel,2.7,,Core i7 7500U,1920,1080,2073600
369,HP,Elitebook 1040,Ultrabook,14.0,Intel HD Graphics 620,Windows,10,1.36kg,1750,1920x1080,No Touchscreen,8,True,False,False,256,0,0,256,369,Intel,2.7,,Core i7 7500U,1920,1080,2073600
370,Asus,ZenBook Flip,2 in 1 Convertible,15.6,Nvidia GeForce GT 940MX,Windows,10,2.26kg,1099,1920x1080,Touchscreen,12,True,True,False,512,2000,0,2512,370,Intel,2.7,,Core i7 7500U,1920,1080,2073600
371,Acer,Aspire 3,Notebook,15.6,AMD Radeon R5,Windows,10,2.1kg,426,1366x768,No Touchscreen,4,True,False,False,128,0,0,128,371,AMD,3.0,9420,A9-Series,1366,768,1049088
372,Asus,Rog Strix,Gaming,17.3,AMD Radeon RX 580,Windows,10,3.25kg,2199,1920x1080,No Touchscreen,16,True,True,False,256,1000,0,1256,372,AMD,3.0,1700,Ryzen,1920,1080,2073600
373,Lenovo,IdeaPad 110-17ACL,Notebook,17.3,AMD Radeon R5,Windows,10,2.6kg,489,1600x900,No Touchscreen,4,True,False,False,128,0,0,128,373,AMD,2.2,7410,A8-Series,1600,900,1440000
374,Dell,Inspiron 5379,2 in 1 Convertible,13.3,Intel UHD Graphics 620,Windows,10,1.62kg,869,1920x1080,Touchscreen,8,True,False,False,256,0,0,256,374,Intel,1.8,,Core i7 8550U,1920,1080,2073600
375,HP,15-bw003nv (A9-Series-9420/4GB/256GB/FHD/W10),Notebook,15.6,AMD Radeon R5,Windows,10,1.91kg,488,1920x1080,No Touchscreen,4,True,False,False,256,0,0,256,375,AMD,3.0,9420,A9-Series,1920,1080,2073600
376,Lenovo,Yoga 11e,Netbook,11.6,Intel HD Graphics 500,Windows,10,1.59kg,553,1366x768,No Touchscreen,4,True,False,False,128,0,0,128,376,Intel,1.1,,Celeron Quad Core N3450,1366,768,1049088
377,Dell,Inspiron 3552,Notebook,15.6,Intel HD Graphics 400,Windows,10,1.8kg,309,1366x768,No Touchscreen,4,False,True,False,0,500,0,500,377,Intel,1.6,,Celeron Dual Core N3060,1366,768,1049088
378,Asus,VivoBook E403NA,Notebook,14.0,Intel HD Graphics 500,Windows,10,1.5kg,286,1366x768,No Touchscreen,4,True,False,False,32,0,0,32,378,Intel,1.1,,Celeron Dual Core N3350,1366,768,1049088
