Manufacturer,Model Name,Category,Screen Size,GPU,Price (Euros),Screen_Type,RAM,SSD,HDD,HYBRID,SSD_CAPACITY,HDD_CAPACITY,HYBRID_CAPACITY,TOTAL_STORAGE,Brand,Clockspeed,Model,Series,Width,Height,fullRes
HP,EliteBook 840,Notebook,14.0,Intel HD Graphics 620,1268,No Touchscreen,8,True,False,False,256,0,0,256,Intel,2.6,,Core i5 7300U,1920,1080,2073600
Dell,Inspiron 7570,Ultrabook,15.6,Nvidia GeForce 940MX,1049,No Touchscreen,8,True,True,False,128,1000,0,1128,Intel,1.6,,Core i5 8250U,1920,1080,2073600
HP,Elitebook 850,Notebook,15.6,Intel HD Graphics 620,1144,No Touchscreen,8,True,False,False,256,0,0,256,Intel,2.5,,Core i5 7200U,1920,1080,2073600
Asus,X541NA (N3350/4GB/1TB/Linux),Notebook,15.6,Intel HD Graphics 500,274,No Touchscreen,4,False,True,False,0,1000,0,1000,Intel,1.1,,Celeron Dual Core N3350,1366,768,1049088
Dell,Inspiron 7570,Notebook,15.6,Nvidia GeForce 940MX,1142,No Touchscreen,8,True,False,False,256,0,0,256,Intel,1.6,,Core i5 8250U,1920,1080,2073600
Dell,Inspiron 3552,Notebook,15.6,Intel HD Graphics,274,No Touchscreen,4,False,True,False,0,500,0,500,Intel,1.6,,Celeron Dual Core N3060,1366,768,1049088
Lenovo,IdeaPad 320-15ABR,Notebook,15.6,AMD Radeon 530,899,No Touchscreen,12,False,True,False,0,2000,0,2000,AMD,3.6,9720P,A12-Series,1920,1080,2073600
HP,ProBook 450,Notebook,15.6,Nvidia GeForce 930MX ,716,No Touchscreen,8,False,True,False,0,1000,0,1000,Intel,2.4,,Core i3 7100U,1920,1080,2073600
Lenovo,Yoga 920-13IKB,2 in 1 Convertible,13.9,Intel UHD Graphics 620,2099,Touchscreen,16,True,False,False,512,0,0,512,Intel,1.8,,Core i7 8550U,3840,2160,8294400
Dell,XPS 13,Ultrabook,13.3,Intel UHD Graphics 620,1579,No Touchscreen,8,True,False,False,256,0,0,256,Intel,1.8,,Core i7 8550U,1920,1080,2073600
Lenovo,Legion Y520-15IKBN,Gaming,15.6,Nvidia GeForce GTX 1050 Ti,1129,No Touchscreen,16,True,True,False,256,2000,0,2256,Intel,2.8,,Core i7 7700HQ,1920,1080,2073600
HP,Stream 14-AX001nv,Notebook,14.0,Intel HD Graphics 400,279,No Touchscreen,2,True,False,False,32,0,0,32,Intel,1.6,,Celeron Dual Core N3060,1366,768,1049088
Dell,Latitude 5590,Ultrabook,15.6,Intel UHD Graphics 620,1607,No Touchscreen,16,True,False,False,512,0,0,512,Intel,1.9,,Core i7 8650U,1920,1080,2073600
Asus,VivoBook Flip,2 in 1 Convertible,11.6,Intel HD Graphics 500,375,Touchscreen,4,True,False,False,32,0,0,32,Intel,1.1,,Celeron Dual Core N3350,1366,768,1049088
Dell,Inspiron 5570,Ultrabook,15.6,AMD Radeon 530,663,No Touchscreen,8,False,True,False,0,1000,0,1000,Intel,1.6,,Core i5 8250U,1920,1080,2073600
Dell,XPS 15,Notebook,15.6,Nvidia GeForce GTX 1050,2027,Touchscreen,16,True,False,False,512,0,0,512,Intel,2.8,,Core i7 7700HQ,3840,2160,8294400
HP,Elitebook 850,Notebook,15.6,Intel HD Graphics 620,1304,No Touchscreen,8,True,False,False,256,0,0,256,Intel,2.7,,Core i7 7500U,1920,1080,2073600
MSI,GP72MVR 7RFX,Gaming,17.3,Nvidia GeForce GTX 1060,1409,No Touchscreen,8,True,True,False,128,1000,0,1128,Intel,2.8,,Core i7 7700HQ,1920,1080,2073600
HP,Zbook 15,Workstation,15.6,Nvidia Quadro M1200,1738,No Touchscreen,8,True,False,False,256,0,0,256,Intel,2.8,,Core i7 7700HQ,1920,1080,2073600
Toshiba,Tecra A50-C-21G,Notebook,15.6,Nvidia GeForce 930M,1403,No Touchscreen,16,True,False,False,512,0,0,512,Intel,2.5,,Core i7 6500U,1920,1080,2073600
Dell,Inspiron 5570,Notebook,15.6,AMD Radeon 530,970,No Touchscreen,8,True,True,False,128,2000,0,2128,Intel,1.8,,Core i7 8550U,1920,1080,2073600
Lenovo,IdeaPad 320-15IAP,Notebook,15.6,Intel HD Graphics 500,321,No Touchscreen,4,False,True,False,0,1000,0,1000,Intel,1.1,,Celeron Dual Core N3350,1366,768,1049088
Dell,Inspiron 7577,Gaming,15.6,Nvidia GeForce GTX 1050,999,No Touchscreen,8,False,True,False,0,1000,0,1000,Intel,2.5,,Core i5 7300HQ,1920,1080,2073600
Dell,Inspiron 3567,Notebook,15.6,Intel HD Graphics 620,557,Touchscreen,8,False,True,False,0,2000,0,2000,Intel,2.5,,Core i5 7200U,1366,768,1049088
Dell,Latitude 7480,Notebook,14.0,Intel HD Graphics 620,1427,No Touchscreen,8,True,False,False,256,0,0,256,Intel,2.6,,Core i5 7300U,1920,1080,2073600
HP,250 G6,Notebook,15.6,Intel HD Graphics 520,439,No Touchscreen,4,False,True,False,0,500,0,500,Intel,2.0,,Core i3 6006U,1366,768,1049088
Asus,Zenbook UX410UA-GV027T,Notebook,14.0,Intel HD Graphics 620,945,No Touchscreen,8,True,False,False,256,0,0,256,Intel,2.5,,Core i5 7200U,1920,1080,2073600
Lenovo,IdeaPad 320-17IKB,Notebook,17.3,Nvidia GeForce GTX 940MX,719,No Touchscreen,6,True,True,False,128,1000,0,1128,Intel,2.5,,Core i5 7200U,1600,900,1440000
HP,250 G6,Notebook,15.6,Intel HD Graphics 620,639,No Touchscreen,8,False,True,False,0,1000,0,1000,Intel,2.5,,Core i5 7200U,1920,1080,2073600
Lenovo,IdeaPad 320-15ISK,Notebook,15.6,Nvidia GeForce 920MX ,499,No Touchscreen,8,True,False,False,256,0,0,256,Intel,2.0,,Core i3 6006U,1366,768,1049088
HP,15-AY023na (N3710/8GB/2TB/W10),Notebook,15.6,Intel HD Graphics 405,389,No Touchscreen,8,False,True,False,0,2000,0,2000,Intel,1.6,,Pentium Quad Core N3710,1366,768,1049088
Dell,Inspiron 5770,Notebook,17.3,AMD Radeon 530,1085,No Touchscreen,8,True,True,False,128,1000,0,1128,Intel,1.6,,Core i5 8250U,1920,1080,2073600
Lenovo,Legion Y520-15IKBN,Gaming,15.6,Nvidia GeForce GTX 1050,809,No Touchscreen,8,True,True,False,128,1000,0,1128,Intel,2.5,,Core i5 7300HQ,1920,1080,2073600
Dell,Inspiron 5567,Notebook,15.6,AMD Radeon R7 M445,899,No Touchscreen,8,True,False,False,256,0,0,256,Intel,2.7,,Core i7 7500U,1920,1080,2073600
HP,Elitebook 1040,Ultrabook,14.0,Intel HD Graphics 620,1750,No Touchscreen,8,True,False,False,256,0,0,256,Intel,2.7,,Core i7 7500U,1920,1080,2073600
Asus,ZenBook Flip,2 in 1 Convertible,15.6,Nvidia GeForce GT 940MX,1099,Touchscreen,12,True,True,False,512,2000,0,2512,Intel,2.7,,Core i7 7500U,1920,1080,2073600
Acer,Aspire 3,Notebook,15.6,AMD Radeon R5,426,No Touchscreen,4,True,False,False,128,0,0,128,AMD,3.0,9420,A9-Series,1366,768,1049088
Asus,Rog Strix,Gaming,17.3,AMD Radeon RX 580,2199,No Touchscreen,16,True,True,False,256,1000,0,1256,AMD,3.0,1700,Ryzen,1920,1080,2073600
Lenovo,IdeaPad 110-17ACL,Notebook,17.3,AMD Radeon R5,489,No Touchscreen,4,True,False,False,128,0,0,128,AMD,2.2,7410,A8-Series,1600,900,1440000
Dell,Inspiron 5379,2 in 1 Convertible,13.3,Intel UHD Graphics 620,869,Touchscreen,8,True,False,False,256,0,0,256,Intel,1.8,,Core i7 8550U,1920,1080,2073600
HP,15-bw003nv (A9-Series-9420/4GB/256GB/FHD/W10),Notebook,15.6,AMD Radeon R5,488,No Touchscreen,4,True,False,False,256,0,0,256,AMD,3.0,9420,A9-Series,1920,1080,2073600
Lenovo,Yoga 11e,Netbook,11.6,Intel HD Graphics 500,553,No Touchscreen,4,True,False,False,128,0,0,128,Intel,1.1,,Celeron Quad Core N3450,1366,768,1049088
Dell,Inspiron 3552,Notebook,15.6,Intel HD Graphics 400,309,No Touchscreen,4,False,True,False,0,500,0,500,Intel,1.6,,Celeron Dual Core N3060,1366,768,1049088
Asus,VivoBook E403NA,Notebook,14.0,Intel HD Graphics 500,286,No Touchscreen,4,True,False,False,32,0,0,32,Intel,1.1,,Celeron Dual Core N3350,1366,768,1049088
Acer,Aspire 7,Notebook,15.6,Nvidia GeForce GTX 1050,846,No Touchscreen,8,False,True,False,0,1000,0,1000,Intel,2.8,,Core i7 7700HQ,1920,1080,2073600
HP,Omen 17-w212nv,Gaming,17.3,Nvidia GeForce GTX 1050,1191,No Touchscreen,8,True,True,False,128,1000,0,1128,Intel,2.8,,Core i7 7700HQ,1920,1080,2073600
Lenovo,V310-15ISK (i3-6006U/4GB/128GB/FHD/No,Notebook,15.6,Intel HD Graphics 520,403,No Touchscreen,4,True,False,False,128,0,0,128,Intel,2.0,,Core i3 6006U,1920,1080,2073600
Asus,ROG Strix,Gaming,15.6,Nvidia GeForce GTX 1060,1655,No Touchscreen,8,True,True,False,128,1000,0,1128,Intel,2.8,,Core i7 7700HQ,1920,1080,2073600
Lenovo,IdeaPad 720S-14IKB,Notebook,14.0,Nvidia GeForce 940MX,1099,No Touchscreen,8,True,False,False,256,0,0,256,Intel,2.5,,Core i5 7200U,1920,1080,2073600
Asus,Zenbook Flip,Ultrabook,13.3,Intel HD Graphics 620,1748,Touchscreen,16,True,False,False,512,0,0,512,Intel,2.7,,Core i7 7500U,1920,1080,2073600
Lenovo,Thinkpad X1,Ultrabook,14.0,Intel HD Graphics 620,2282,No Touchscreen,8,True,False,False,512,0,0,512,Intel,2.7,,Core i7 7500U,2560,1440,3686400
Lenovo,Ideapad 510S-13IKB,Notebook,13.3,Intel HD Graphics 620,549,No Touchscreen,4,True,False,False,128,0,0,128,Intel,2.4,,Core i3 7100U,1920,1080,2073600
Dell,Precision 3510,Workstation,15.6,AMD FirePro W5130M,1369,No Touchscreen,8,False,True,False,0,500,0,500,Intel,2.6,,Core i5 6440HQ,1920,1080,2073600
Dell,Precision 5520,Workstation,15.6,Nvidia Quadro M1200,2135,No Touchscreen,8,True,False,False,256,0,0,256,Intel,2.7,,Core i7 6820HQ,1920,1080,2073600
Lenovo,ThinkPad X1,2 in 1 Convertible,14.0,Intel HD Graphics 620,2509,Touchscreen,16,True,False,False,512,0,0,512,Intel,2.7,,Core i7 7500U,2560,1440,3686400
Asus,Rog GL753VD-GC042T,Gaming,17.3,Nvidia GeForce GTX 1050,1039,No Touchscreen,8,False,True,False,0,1000,0,1000,Intel,2.8,,Core i7 7700HQ,1920,1080,2073600
Asus,Rog GL753VE-GC070T,Gaming,17.3,Nvidia GeForce GTX 1050 Ti,1591,No Touchscreen,16,True,True,False,256,1000,0,1256,Intel,2.8,,Core i7 7700HQ,1920,1080,2073600
Acer,Aspire 5,Notebook,15.6,Nvidia GeForce MX130,693,No Touchscreen,12,False,True,False,0,1000,0,1000,Intel,1.6,,Core i5 8250U,1366,768,1049088
MSI,Leopard GP72M,Gaming,17.3,Nvidia GeForce GTX 1050 Ti,1349,No Touchscreen,8,True,False,False,256,0,0,256,Intel,2.8,,Core i7 7700HQ,1920,1080,2073600
Dell,Inspiron 5567,Notebook,15.6,AMD Radeon R7 M445,778,No Touchscreen,8,True,False,False,256,0,0,256,Intel,2.7,,Core i7 7500U,1920,1080,2073600
HP,15-BW004nv (A9-9420/4GB/256GB/Radeon,Ultrabook,15.6,AMD Radeon 520,499,No Touchscreen,4,True,False,False,256,0,0,256,AMD,3.0,9420,A9-Series,1920,1080,2073600
Lenovo,ThinkPad E580,Notebook,15.6,AMD Radeon RX 550,1229,No Touchscreen,8,True,False,False,256,0,0,256,Intel,1.8,,Core i7 8550U,1920,1080,2073600
Lenovo,ThinkPad L470,Notebook,14.0,Intel HD Graphics 620,938,No Touchscreen,8,True,False,False,256,0,0,256,Intel,2.5,,Core i5 7200U,1920,1080,2073600
Dell,Precision M5520,Workstation,15.6,Nvidia Quadro M1200,2712,Touchscreen,8,True,False,False,256,0,0,256,Intel,2.8,,Core i7 7700HQ,3840,2160,8294400
Lenovo,Thinkpad X1,Ultrabook,14.0,Intel HD Graphics 620,2625,No Touchscreen,16,True,False,False,1000,0,0,1000,Intel,2.7,,Core i7 7500U,2560,1440,3686400
Lenovo,IdeaPad 320-15IAP,Notebook,15.6,Intel HD Graphics 500,306,No Touchscreen,4,False,True,False,0,1000,0,1000,Intel,1.1,,Celeron Dual Core N3350,1366,768,1049088
Asus,FX753VD-GC461T (i7-7700HQ/16GB/1TB,Gaming,17.3,Nvidia GeForce GTX 1050,1529,No Touchscreen,16,True,True,False,256,1000,0,1256,Intel,2.8,,Core i7 7700HQ,1920,1080,2073600
Lenovo,ThinkPad E580,Notebook,15.6,AMD Radeon RX 550,1144,No Touchscreen,8,True,True,False,256,1000,0,1256,Intel,1.6,,Core i5 8250U,1920,1080,2073600
Acer,Aspire 7,Notebook,15.6,Nvidia GeForce GTX 1050,879,No Touchscreen,8,True,False,False,256,0,0,256,Intel,2.8,,Core i7 7700HQ,1920,1080,2073600
MSI,GE73VR 7RF,Gaming,17.3,Nvidia GeForce GTX 1070,2249,No Touchscreen,16,True,True,False,256,1000,0,1256,Intel,2.8,,Core i7 7700HQ,1920,1080,2073600
Asus,Zenbook 3,Ultrabook,14.0,Intel HD Graphics 620,1873,No Touchscreen,8,True,False,False,512,0,0,512,Intel,2.7,,Core i7 7500U,1920,1080,2073600
Toshiba,Portege Z30-C-16P,Ultrabook,13.3,Intel HD Graphics 520,1747,No Touchscreen,16,True,False,False,512,0,0,512,Intel,2.5,,Core i7 6500U,1920,1080,2073600
Dell,Latitude 7480,Ultrabook,14.0,Intel HD Graphics,1680,No Touchscreen,8,True,False,False,512,0,0,512,Intel,2.8,,Core i7 7600U,1920,1080,2073600
Lenovo,IdeaPad 320-15ISK,Notebook,15.6,Intel HD Graphics 520,409,No Touchscreen,4,False,True,False,0,500,0,500,Intel,2.0,,Core i3 6006U,1920,1080,2073600
Lenovo,Lenovo IdeaPad,Notebook,11.6,Intel HD Graphics 500,304,No Touchscreen,2,True,False,False,32,0,0,32,Intel,1.1,,Celeron Dual Core N3350,1366,768,1049088
Lenovo,ThinkPad P51,Workstation,15.6,Nvidia Quadro M1200,1925,No Touchscreen,8,True,False,False,512,0,0,512,Intel,2.8,,Core i7 7700HQ,1920,1080,2073600
Lenovo,Thinkpad T470p,Ultrabook,14.0,Nvidia GeForce GT 940MX,1943,No Touchscreen,8,True,False,False,512,0,0,512,Intel,2.8,,Core i7 7700HQ,2560,1440,3686400
HP,15-BS028nv (i3-6006U/4GB/1TB/Radeon,Notebook,15.6,AMD Radeon 520,469,No Touchscreen,4,False,True,False,0,1000,0,1000,Intel,2.0,,Core i3 6006U,1920,1080,2073600
Acer,Aspire R7,2 in 1 Convertible,13.3,Intel HD Graphics 520,789,Touchscreen,8,True,False,False,256,0,0,256,Intel,2.5,,Core i7 6500U,1920,1080,2073600
Asus,ZenBook Flip,2 in 1 Convertible,13.3,Intel HD Graphics 620,928,Touchscreen,8,True,False,False,256,0,0,256,Intel,2.5,,Core i5 7200U,1920,1080,2073600
Dell,Inspiron 3567,Notebook,15.6,AMD Radeon R5 M430,598,No Touchscreen,4,True,False,False,256,0,0,256,Intel,2.5,,Core i5 7200U,1920,1080,2073600
Dell,Latitude 3380,Notebook,13.3,Intel HD Graphics 520,689,No Touchscreen,4,True,False,False,128,0,0,128,Intel,2.0,,Core i3 6006U,1366,768,1049088
HP,EliteBook 1040,Ultrabook,14.0,Intel HD Graphics 520,1500,No Touchscreen,8,True,False,False,256,0,0,256,Intel,2.5,,Core i7 6500U,1920,1080,2073600
Dell,Inspiron 3567,Notebook,15.6,Intel HD Graphics 620,539,No Touchscreen,8,False,True,False,0,1000,0,1000,Intel,2.5,,Core i5 7200U,1366,768,1049088
Lenovo,ThinkPad E480,Ultrabook,14.0,AMD Radeon RX 550,1215,No Touchscreen,8,True,False,False,256,0,0,256,Intel,1.8,,Core i7 8550U,1920,1080,2073600
Lenovo,Yoga 720-15IKB,2 in 1 Convertible,15.6,Nvidia GeForce GTX 1050,1899,Touchscreen,16,True,False,False,512,0,0,512,Intel,2.8,,Core i7 7700HQ,3840,2160,8294400
Chuwi,LapBook 12.3,Notebook,12.3,Intel HD Graphics 500,449,No Touchscreen,6,True,False,False,64,0,0,64,Intel,1.1,,Celeron Quad Core N3450,2736,1824,4990464
HP,ProBook 650,Notebook,15.6,Intel HD Graphics 630,1427,No Touchscreen,8,True,False,False,256,0,0,256,Intel,2.9,,Core i7 7820HQ,1920,1080,2073600
Asus,X542UQ-DM117 (i3-7100U/8GB/1TB/GeForce,Notebook,15.6,Nvidia GeForce 940MX,597,No Touchscreen,8,False,True,False,0,1000,0,1000,Intel,2.4,,Core i3 7100U,1920,1080,2073600
Dell,Alienware 17,Gaming,17.3,Nvidia GeForce GTX 1070,2799,No Touchscreen,16,True,True,False,256,1000,0,1256,Intel,2.9,,Core i7 7820HK,2560,1440,3686400
Dell,Inspiron 7577,Gaming,15.6,Nvidia GeForce GTX 1050 Ti,1159,No Touchscreen,8,True,True,False,128,1000,0,1128,Intel,2.8,,Core i7 7700HQ,1920,1080,2073600
Dell,Inspiron 5570,Notebook,15.6,AMD Radeon 530,1142,No Touchscreen,8,True,True,False,256,2000,0,2256,Intel,1.8,,Core i7 8550U,1920,1080,2073600
Dell,Latitude 5480,Ultrabook,14.0,Intel HD Graphics 620,1099,No Touchscreen,8,True,False,False,256,0,0,256,Intel,2.8,,Core i7 7600U,1920,1080,2073600
HP,Omen 17-w207nv,Gaming,17.3,Nvidia GeForce GTX 1070,1999,No Touchscreen,12,True,True,False,256,1000,0,1256,Intel,2.8,,Core i7 7700HQ,1920,1080,2073600
Mediacom,FlexBook Edge,2 in 1 Convertible,11.6,Intel HD Graphics 500,299,Touchscreen,4,True,False,False,32,0,0,32,Intel,1.1,,Celeron Dual Core N3350,1920,1080,2073600
Samsung,Chromebook 3,Netbook,11.6,Intel HD Graphics 400,269,No Touchscreen,4,True,False,False,16,0,0,16,Intel,1.6,,Celeron Dual Core N3060,1366,768,1049088
Lenovo,Thinkpad 13,Notebook,13.3,Intel HD Graphics 620,1010,No Touchscreen,8,True,False,False,256,0,0,256,Intel,2.7,,Core i7 7500U,1920,1080,2073600
Lenovo,IdeaPad 320s-14IKB,Notebook,14.0,Intel HD Graphics 620,599,No Touchscreen,4,True,False,False,128,0,0,128,Intel,2.7,,Core i3 7130U,1920,1080,2073600
Lenovo,Thinkpad T570,Workstation,15.6,Nvidia GeForce 940MX,2445,No Touchscreen,16,True,False,False,512,0,0,512,Intel,2.8,,Core i7 7600U,3840,2160,8294400
Lenovo,Thinkpad P51,Notebook,15.6,Nvidia Quadro M2200M,2449,No Touchscreen,16,True,False,False,512,0,0,512,Intel,2.9,,Core i7 7820HQ,1920,1080,2073600
Asus,Rog Strix,Gaming,17.3,AMD Radeon RX 580,1695,No Touchscreen,8,True,True,False,256,1000,0,1256,AMD,3.2,1600,Ryzen,1920,1080,2073600
HP,15-ra044nv (N3060/4GB/500GB/W10),Notebook,15.6,Intel HD Graphics 400,347,No Touchscreen,4,False,True,False,0,500,0,500,Intel,1.6,,Celeron Dual Core N3060,1366,768,1049088
Google,Pixelbook (Core,Ultrabook,12.3,Intel HD Graphics 615,2199,Touchscreen,16,True,False,False,512,0,0,512,Intel,1.3,,Core i7 7Y75,2400,1600,3840000
Lenovo,ThinkPad T470s,Ultrabook,14.0,Intel HD Graphics 620,2382,No Touchscreen,24,True,False,False,512,0,0,512,Intel,2.7,,Core i7 7500U,2560,1440,3686400
Asus,VivoBook Max,Notebook,15.6,Intel HD Graphics 620,559,No Touchscreen,4,True,False,False,256,0,0,256,Intel,2.5,,Core i5 7200U,1920,1080,2073600
Lenovo,IdeaPad 320-15AST,Notebook,17.3,AMD Radeon R4,519,No Touchscreen,8,False,True,False,0,1000,0,1000,AMD,2.5,9220,A6-Series,1600,900,1440000
Dell,Inspiron 5570,Notebook,15.6,AMD Radeon 530,749,No Touchscreen,4,True,False,False,256,0,0,256,Intel,1.6,,Core i5 8250U,1920,1080,2073600
Lenovo,ThinkPad X270,Ultrabook,12.5,Intel HD Graphics 620,1429,No Touchscreen,8,True,False,False,256,0,0,256,Intel,2.5,,Core i5 7200U,1920,1080,2073600
Lenovo,IdeaPad 320-15IAP,Notebook,15.6,Intel HD Graphics 505,349,No Touchscreen,4,True,False,False,128,0,0,128,Intel,1.1,,Pentium Quad Core N4200,1920,1080,2073600
HP,Omen 15-AX205na,Gaming,15.6,Nvidia GeForce GTX 1050,1099,No Touchscreen,8,True,True,False,128,1000,0,1128,Intel,2.8,,Core i7 7700HQ,1920,1080,2073600
Dell,Latitude 5480,Notebook,14.0,Nvidia GeForce 930MX,1179,No Touchscreen,8,True,False,False,256,0,0,256,Intel,2.8,,Core i5 7440HQ,1920,1080,2073600
Acer,Aspire ES1-572,Notebook,15.6,Intel HD Graphics 620,441,No Touchscreen,4,False,True,False,0,500,0,500,Intel,2.5,,Core i5 7200U,1366,768,1049088
Dell,Precision 3520,Workstation,15.6,Nvidia Quadro M620,1993,No Touchscreen,8,True,True,False,64,1000,0,1064,Intel,3.0,,Xeon E3-1505M V6,1920,1080,2073600
MSI,GV62 7RD-1686NL,Gaming,15.6,Nvidia GeForce GTX 1050,1027,No Touchscreen,8,True,False,False,256,0,0,256,Intel,2.5,,Core i5 7300HQ,1920,1080,2073600
Microsoft,Surface Laptop,Ultrabook,13.5,Intel Iris Plus Graphics 640,2589,Touchscreen,16,True,False,False,512,0,0,512,Intel,2.5,,Core i7 7660U,2256,1504,3393024
HP,15-bs024nv (i5-7200U/8GB/128GB/W10),Notebook,15.6,Intel HD Graphics 620,589,No Touchscreen,8,True,False,False,128,0,0,128,Intel,2.5,,Core i5 7200U,1366,768,1049088
Dell,Precision 3520,Workstation,15.6,Nvidia Quadro M620,1975,No Touchscreen,16,True,False,False,256,0,0,256,Intel,2.7,,Core i7 6820HQ,1920,1080,2073600
HP,ProBook 650,Workstation,15.6,Intel HD Graphics 620,1534,No Touchscreen,8,True,False,False,512,0,0,512,Intel,2.9,,Core i7 7820HQ,1920,1080,2073600
Lenovo,ThinkPad T470,Notebook,14.0,Intel HD Graphics 620,1345,No Touchscreen,8,True,False,False,256,0,0,256,Intel,2.5,,Core i5 7200U,1920,1080,2073600
Dell,Inspiron 5570,Notebook,15.6,AMD Radeon 530,979,No Touchscreen,8,True,True,False,128,1000,0,1128,Intel,1.8,,Core i7 8550U,1920,1080,2073600
Dell,Inspiron 3168,2 in 1 Convertible,11.6,Intel HD Graphics 405,479,Touchscreen,4,False,True,False,0,500,0,500,Intel,1.6,,Pentium Quad Core N3710,1366,768,1049088
Dell,Alienware 17,Notebook,17.3,Nvidia GeForce GTX 1060,2046,No Touchscreen,8,False,True,False,0,1000,0,1000,Intel,2.7,,Core i7 7700HQ,1920,1080,2073600
Microsoft,Surface Laptop,Ultrabook,13.5,Intel HD Graphics 615,989,Touchscreen,4,True,False,False,128,0,0,128,Intel,2.2,,Core M m3-7Y30,2256,1504,3393024
Microsoft,Surface Laptop,Ultrabook,13.5,Intel Iris Plus Graphics 640,1799,Touchscreen,8,True,False,False,256,0,0,256,Intel,2.5,,Core i7 7660U,2256,1504,3393024
HP,17-BS092ND (i3-6006U/8GB/256GB/W10),Notebook,17.3,Intel HD Graphics 520,639,No Touchscreen,8,True,False,False,256,0,0,256,Intel,2.0,,Core i3 6006U,1600,900,1440000
Acer,Aspire E5-576G,Notebook,15.6,Nvidia GeForce 940MX,544,No Touchscreen,4,False,True,False,0,1000,0,1000,Intel,2.0,,Core i3 6006U,1920,1080,2073600
Acer,TravelMate B,Netbook,11.6,Intel HD Graphics 400,435,No Touchscreen,4,True,False,False,128,0,0,128,Intel,1.6,,Celeron Dual Core N3060,1366,768,1049088
Asus,Pro P2540UA-AB51,Notebook,15.6,Intel HD Graphics 620,749,No Touchscreen,8,False,True,False,0,1000,0,1000,Intel,2.5,,Core i5 7200U,1920,1080,2073600
Lenovo,IdeaPad 510s-14IKB,Notebook,14.0,AMD Radeon R7 M460,799,No Touchscreen,8,True,False,False,512,0,0,512,Intel,2.7,,Core i7 7500U,1920,1080,2073600
Lenovo,Thinkpad P51,Notebook,15.6,Nvidia Quadro M2200M,2090,No Touchscreen,8,True,False,False,256,0,0,256,Intel,2.9,,Core i7 7820HQ,1920,1080,2073600
Asus,X541NA-PD1003Y (N4200/4GB/500GB/W10),Notebook,15.6,Intel HD Graphics 500,304,No Touchscreen,4,False,True,False,0,500,0,500,Intel,1.1,,Pentium Quad Core N4200,1366,768,1049088
Acer,Aspire 5,Notebook,15.6,Nvidia GeForce GTX 940MX,469,No Touchscreen,4,False,True,False,0,500,0,500,Intel,2.0,,Core i3 6006U,1366,768,1049088
Dell,Inspiron 5570,Notebook,15.6,AMD Radeon 530,759,No Touchscreen,8,False,True,False,0,2000,0,2000,Intel,1.6,,Core i5 8250U,1920,1080,2073600
HP,Omen 17-an006nv,Gaming,17.3,Nvidia GeForce GTX 1060,1699,No Touchscreen,12,False,True,False,0,1000,0,1000,Intel,2.8,,Core i7 7700HQ,1920,1080,2073600
Lenovo,Thinkpad T460s,Ultrabook,14.0,Intel HD Graphics 520,1858,No Touchscreen,12,True,False,False,256,0,0,256,Intel,2.6,,Core i7 6600U,2560,1440,3686400
HP,Spectre x360,2 in 1 Convertible,13.3,Intel UHD Graphics 620,1999,Touchscreen,8,True,False,False,512,0,0,512,Intel,1.8,,Core i7 8550U,3840,2160,8294400
HP,ZBook 15u,Notebook,15.6,AMD FirePro W4190M ,1154,No Touchscreen,8,False,True,False,0,500,0,500,Intel,2.5,,Core i5 7200U,1920,1080,2073600
Google,Pixelbook (Core,Ultrabook,12.3,Intel HD Graphics 615,1275,Touchscreen,8,True,False,False,128,0,0,128,Intel,1.2,,Core i5 7Y57,2400,1600,3840000
Dell,Latitude 7390,Ultrabook,13.3,Intel UHD Graphics 620,1841,Touchscreen,8,True,False,False,256,0,0,256,Intel,1.6,,Core i5 8250U,1920,1080,2073600
Asus,ZenBook Pro,Notebook,15.6,Intel HD Graphics 530,1299,No Touchscreen,12,True,True,False,128,1000,0,1128,Intel,2.6,,Core i7 6700HQ,3840,2160,8294400
Dell,Latitude E5470,Notebook,14.0,Intel HD Graphics 520,740,No Touchscreen,8,True,False,False,128,0,0,128,Intel,2.3,,Core i3 6100U,1366,768,1049088
Dell,Precision M5520,Workstation,15.6,Nvidia Quadro M1200,2408,No Touchscreen,8,True,False,False,256,0,0,256,Intel,2.8,,Core i7 7700HQ,1920,1080,2073600
Lenovo,Thinkpad T470,Notebook,14.0,Intel HD Graphics 620,1364,No Touchscreen,8,True,False,False,1,0,0,1,Intel,2.5,,Core i5 7200U,1920,1080,2073600
Dell,Inspiron 3576,Notebook,15.6,AMD Radeon 520,675,No Touchscreen,8,False,True,False,0,1000,0,1000,Intel,1.6,,Core i5 8250U,1920,1080,2073600
Toshiba,Portege X30-D-10J,Notebook,13.3,Intel HD Graphics 620,1672,No Touchscreen,8,True,False,False,256,0,0,256,Intel,2.5,,Core i5 7200U,1920,1080,2073600
Dell,Inspiron 7570,Notebook,15.6,Nvidia GeForce 940MX,1262,No Touchscreen,8,True,False,False,512,0,0,512,Intel,1.8,,Core i7 8550U,1920,1080,2073600
Dell,Vostro 3568,Notebook,15.6,Intel HD Graphics 620,586,No Touchscreen,4,False,True,False,0,1000,0,1000,Intel,2.4,,Core i3 7100U,1366,768,1049088
